NN size,Encoding rate,Encoding,Network,Decoding,Rotating,yolo,Server,Frame Rate,Confidence,Cumulative Confidence
128,25,4,5,1.9,0.1,10.8,14,41.6666666666667,[],0
128,25,3,4.5,1.3,0.3,9.6,11.5,50,[],0
128,25,4,4.7,1.7,0.1,10.9,13.3,43.4782608695652,[],0
128,25,5,5.4,1.8,0.3,10.8,13.6,38.4615384615385,"[0.610029, 0.534107]",1.144136
128,25,3,3.9,1.3,0.3,10.9,13.1,43.4782608695652,"[0.532722, 0.982347]",1.515069
128,25,4,5.1,1.3,0.1,11.1,12.9,41.6666666666667,[],0
128,25,5,4.4,2.5,0.2,10.8,14.6,38.4615384615385,"[0.857773, 0.669446]",1.527219
128,25,4,4.8,1.4,0.2,15,17.2,35.7142857142857,"[0.877287, 0.742075]",1.619362
128,25,5,6.2,1.7,0.1,11.1,13.8,40,[0.622311],0.622311
128,25,3,4.9,1.5,0.1,11,13.1,45.4545454545455,[],0
128,25,4,4.8,1.9,0.1,11.3,14.2,38.4615384615385,"[0.904826, 0.739492, 0.629284, 0.623722, 0.603503, 0.557373, 0.516687]",4.574887
128,25,5,4,1.5,0.1,10.8,13,43.4782608695652,"[0.844871, 0.986961]",1.831832
128,25,4,6.2,1.3,0.1,10.8,12.8,41.6666666666667,[],0
128,25,2,4.6,1.1,0.3,10.8,12.4,50,[0.805613],0.805613
128,25,3,5.1,1.4,0.1,10.8,12.9,47.6190476190476,[],0
128,25,6,5.8,2.1,0.1,10.8,14.2,38.4615384615385,[],0
128,25,4,8.4,0.9,0.1,10.7,12.6,37.037037037037,"[0.787463, 0.96601]",1.753473
128,25,4,4.8,1,0.1,10.8,12.2,45.4545454545455,"[0.929393, 0.867674]",1.797067
128,25,5,5,1.6,0.1,10.8,13,41.6666666666667,[0.798268],0.798268
128,25,4,3.9,1.5,0.1,10.7,13.1,45.4545454545455,[0.603716],0.603716
128,25,4,4.5,2.1,0.2,9.3,12.5,43.4782608695652,[0.979305],0.979305
128,25,4,4.7,0.8,0.1,7.9,9.3,50,"[0.816349, 0.753648, 0.712838, 0.583793]",2.866628
128,25,3,5.5,1.6,0.1,9.1,11.5,50,[],0
128,25,5,6.6,1.4,0.1,10.2,12.4,40,"[0.987613, 0.881187, 0.549948]",2.418748
128,25,4,4.7,1.2,0.1,9.6,11.3,50,[0.933649],0.933649
128,25,2,5.6,0.4,0.1,7.7,8.4,58.8235294117647,"[0.943373, 0.922747, 0.899769, 0.827143, 0.551414, 0.685715]",4.830161
128,25,6,6.2,1.8,0.1,10.9,13.8,38.4615384615385,[],0
